Code,Title,Description
1111,Oilseed and Grain Farming,This industry group comprises establishments primarily engaged in (1) growing oilseed and/or grain crops and/or (2) producing oilseed and grain seeds.  These crops have an annual life cycle and are typically grown in open fields.
1112,Vegetable and Melon Farming,""
1113,Fruit and Tree Nut Farming,This industry group comprises establishments primarily engaged in growing fruit and/or tree nut crops.  The crops included in this industry group are generally not grown from seeds and have a perennial life cycle.
1114,"Greenhouse, Nursery, and Floriculture Production","This industry group comprises establishments primarily engaged in growing crops of any kind under cover and/or growing nursery stock and flowers.  ""Under cover"" is generally defined as greenhouses, cold frames, cloth houses, and lath houses.  The crops grown are removed at various stages of maturity and have annual and perennial life cycles.  The nursery stock includes short rotation woody crops that have growth cycles of 10 years or less."
1119,Other Crop Farming,"This industry group comprises establishments primarily engaged in (1) growing crops (except oilseed and/or grain; vegetable and/or melon; fruit and tree nut; and greenhouse, nursery, and/or floriculture products), such as tobacco, cotton, sugarcane, hay, sugar beets, peanuts, agave, herbs and spices, and hay and grass seeds, or (2) growing a combination of crops (except a combination of oilseed(s) and grain(s) and a combination of fruit(s) and tree nut(s))."
1121,Cattle Ranching and Farming,"This industry group comprises establishments primarily engaged in raising cattle, milking dairy cattle, or feeding cattle for fattening."
1122,Hog and Pig Farming,""
1123,Poultry and Egg Production,"This industry group comprises establishments primarily engaged in breeding, hatching, and raising poultry for meat or egg production."
1124,Sheep and Goat Farming,"This industry group comprises establishments primarily engaged in raising sheep, lambs, and goats, or feeding lambs for fattening."
1125,Aquaculture,""
1129,Other Animal Production,"This industry group comprises establishments primarily engaged in raising animals and insects (except cattle, hogs and pigs, poultry, sheep and goats, and aquaculture) for sale or product production.  These establishments are primarily engaged in raising one of the following: bees, horses and other equines, rabbits and other fur-bearing animals, and so forth, and producing products, such as honey and other bee products.  Establishments primarily engaged in raising a combination of animals with no one animal or family of animals accounting for one-half of the establishment's agricultural production (i.e., value of animals for market) are included in this industry group."
1131,Timber Tract Operations,""
1132,Forest Nurseries and Gathering of Forest Products,""
1133,Logging,""
1141,Fishing,""
1142,Hunting and Trapping,""
1151,Support Activities for Crop Production,""
1152,Support Activities for Animal Production,""
1153,Support Activities for Forestry,""
2111,Oil and Gas Extraction,""
2121,Coal Mining,""
2122,Metal Ore Mining,"This industry group comprises establishments primarily engaged in developing mine sites or mining metallic minerals, and establishments primarily engaged in ore dressing and beneficiating (i.e., preparing) operations, such as crushing, grinding, washing, drying, sintering, concentrating, calcining, and leaching.  Beneficiating may be performed at mills operated in conjunction with the mines served or at mills, such as custom mills, operated separately."
2123,Nonmetallic Mineral Mining and Quarrying,"This industry group comprises establishments primarily engaged in developing mine sites, or in mining or quarrying nonmetallic minerals (except fuels).  Also included are certain well and brine operations, and preparation plants primarily engaged in beneficiating (e.g., crushing, grinding, washing, and concentrating) nonmetallic minerals. 

Beneficiation is the process whereby the extracted material is reduced to particles which can be separated into mineral and waste, the former suitable for further processing or direct use.  The operations that take place in beneficiation are primarily mechanical, such as grinding, washing, magnetic separation, and centrifugal separation.  In contrast, manufacturing operations primarily use chemical and electrochemical processes, such as electrolysis and distillation.  However, some treatments, such as heat treatments, take place in both the beneficiation and the manufacturing (i.e., smelting/refining) stages.  The range of preparation activities varies by mineral and the purity of any given ore deposit.  While some minerals, such as petroleum and natural gas, require little or no preparation, others are washed and screened, while yet others, such as gold and silver, can be transformed into bullion before leaving the mine site."
2131,Support Activities for Mining,""
2211,"Electric Power Generation, Transmission and Distribution","This industry group comprises establishments primarily engaged in generating, transmitting, and/or distributing electric power.  Establishments in this industry group may perform one or more of the following activities: (1) operate generation facilities that produce electric energy; (2) operate transmission systems that convey the electricity from the generation facility to the distribution system; and (3) operate distribution systems that convey electric power received from the generation facility or the transmission system to the final consumer."
2212,Natural Gas Distribution,""
2213,"Water, Sewage and Other Systems","This industry group comprises establishments primarily engaged in: (1) operating water treatment plants and/or water supply systems; (2) operating sewer systems or sewage treatment facilities; or (3) providing steam, heated air, or cooled air."
2361,Residential Building Construction,""
2362,Nonresidential Building Construction,"This industry group comprises establishments primarily responsible for the construction (including new work, additions, alterations, maintenance, and repairs) of nonresidential buildings.  This industry group includes nonresidential general contractors, nonresidential for-sale builders, nonresidential design-build firms, and nonresidential project construction management firms."
2371,Utility System Construction,"This industry group comprises establishments primarily engaged in the construction of distribution lines and related buildings and structures for utilities (i.e., water, sewer, petroleum, gas, power, and communication).  All structures (including buildings) that are integral parts of utility systems (e.g., storage tanks, pumping stations, power plants, and refineries) are included in this industry group."
2372,Land Subdivision,""
2373,"Highway, Street, and Bridge Construction",""
2379,Other Heavy and Civil Engineering Construction,""
2381,"Foundation, Structure, and Building Exterior Contractors","This industry group comprises establishments primarily engaged in the specialty trades needed to complete the basic structure (i.e., foundation, frame, and shell) of buildings.  The work performed may include new work, additions, alterations, maintenance, and repairs."
2382,Building Equipment Contractors,"This industry group comprises establishments primarily engaged in installing or servicing equipment that forms part of a building mechanical system (e.g., electricity, water, heating, and cooling).  The work performed may include new work, additions, alterations, maintenance, and repairs.  Contractors installing specialized building equipment, such as elevators, escalators, service station equipment, and central vacuum cleaning systems, are also included."
2383,Building Finishing Contractors,"This industry group comprises establishments primarily engaged in the specialty trades needed to finish buildings.  The work performed may include new work, additions, alterations, maintenance, and repairs."
2389,Other Specialty Trade Contractors,"This industry group comprises establishments primarily engaged in site preparation activities and in specialized trades (except foundation, structure, and building exterior contractors; building equipment contractors; and building finishing contractors).  The specialty trade work performed includes new work, additions, alterations, maintenance, and repairs."
3111,Animal Food Manufacturing,""
3112,Grain and Oilseed Milling,"This industry group comprises establishments primarily engaged in milling flour or meal from grains or vegetables, manufacturing malt, wet milling corn and other vegetables, crushing oilseeds and tree nuts, refining and/or blending vegetable oils, and manufacturing breakfast cereals."
3113,Sugar and Confectionery Product Manufacturing,"This industry group comprises (1) establishments that process agricultural inputs, such as sugarcane, beet, and cacao, to give rise to a new product (sugar or chocolate) and (2) those that begin with sugar and chocolate and process these further."
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,"This industry group includes (1) establishments that freeze food and (2) those that use preservation processes, such as pickling, canning, and dehydrating.  Both types begin their production process with inputs of vegetable or animal origin."
3115,Dairy Product Manufacturing,"This industry group comprises establishments that manufacture dairy products from raw milk, processed milk, and dairy substitutes."
3116,Animal Slaughtering and Processing,""
3117,Seafood Product Preparation and Packaging,""
3118,Bakeries and Tortilla Manufacturing,"This industry group comprises establishments primarily engaged in one of the following: (1) manufacturing fresh and frozen bread and other bakery products; (2) retailing bread and other bakery products not for immediate consumption made on the premises from flour, not from prepared dough; (3) manufacturing cookies, crackers, and dry pasta; (4) manufacturing prepared flour mixes or dough from flour ground elsewhere; or (5) manufacturing tortillas."
3119,Other Food Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing food (except animal food; grain and oilseed milling; sugar and confectionery products; preserved fruits, vegetables, and specialty foods; dairy products; meat products; seafood products; and bakery products and tortillas).  This industry group includes industries with different production processes, such as snack food manufacturing; coffee and tea manufacturing; concentrate, syrup, condiment, and spice manufacturing; and, in general, an entire range of other miscellaneous food product manufacturing."
3121,Beverage Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing soft drinks and ice; purifying and bottling water; and manufacturing brewery, winery, and distillery products."
3122,Tobacco Manufacturing,""
3131,"Fiber, Yarn, and Thread Mills",""
3132,Fabric Mills,"This industry group comprises establishments primarily engaged in one of the following:  (1) weaving broadwoven fabrics and felts (except tire fabrics and rugs); (2) weaving or braiding narrow fabrics; (3) making fabric-covered elastic yarn and thread; (4) manufacturing Schiffli machine embroideries; (5) manufacturing nonwoven fabrics and felts; (6) knitting weft (i.e., circular) and warp (i.e., flat) fabric; (7) knitting and finishing weft and warp fabric; (8) manufacturing lace; or (9) manufacturing, dyeing, and finishing lace and lace goods."
3133,Textile and Fabric Finishing and Fabric Coating Mills,"This industry group comprises establishments primarily engaged in one of the following: (1) finishing textiles, fabrics, and apparel; (2) converting fabrics and textiles by buying fabric goods in the grey, having them finished on contract, and selling them at wholesale; or (3) coating, laminating, varnishing, waxing, and rubberizing textiles and apparel."
3141,Textile Furnishings Mills,"This industry group comprises establishments primarily engaged in (1) manufacturing woven, tufted, and other carpets and rugs and (2) manufacturing household textile products from purchased materials.  The household textile products may be made on a stock or custom basis for sale to individual retail customers."
3149,Other Textile Product Mills,"This industry group comprises establishments primarily engaged in making textile products (except carpets and rugs, curtains and draperies, and other household textile products) from purchased materials."
3151,Apparel Knitting Mills,"This industry group comprises establishments primarily engaged in knitting apparel or knitting fabric and then manufacturing apparel.  This industry group includes jobbers performing entrepreneurial functions involved in knitting apparel and accessories. Knitting fabric, without manufacturing apparel, is classified in Subsector 313, Textile Mills."
3152,Cut and Sew Apparel Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing cut and sew apparel from woven fabric or purchased knit fabric.  Included in this industry group is a diverse range of establishments manufacturing full lines of ready-to-wear apparel and custom apparel: apparel contractors, performing cutting or sewing operations on materials owned by others; jobbers, performing entrepreneurial functions involved in apparel manufacturing; and tailors, manufacturing custom garments for individual clients.  Establishments weaving or knitting fabric, without manufacturing apparel, are classified in Subsector 313, Textile Mills."
3159,Apparel Accessories and Other Apparel Manufacturing,""
3161,Leather and Hide Tanning and Finishing,""
3162,Footwear Manufacturing,""
3169,Other Leather and Allied Product Manufacturing,""
3211,Sawmills and Wood Preservation,""
3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",""
3219,Other Wood Product Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing wood products (except establishments operating sawmills and wood preservation facilities; and establishments manufacturing veneer, plywood, or engineered wood products)."
3221,"Pulp, Paper, and Paperboard Mills","This industry group comprises establishments primarily engaged in manufacturing pulp, paper, or paperboard."
3222,Converted Paper Product Manufacturing,This industry group comprises establishments primarily engaged in converting paper or paperboard without manufacturing paper or paperboard.
3231,Printing and Related Support Activities,""
3241,Petroleum and Coal Products Manufacturing,""
3251,Basic Chemical Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing chemicals using basic processes, such as thermal cracking and distillation.  Chemicals manufactured in this industry group are usually separate chemical elements or separate chemically-defined compounds."
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","This industry group comprises establishments primarily engaged in one of the following: (1) manufacturing synthetic resins, plastics materials, and nonvulcanizable elastomers and mixing and blending resins on a custom basis; (2) manufacturing noncustomized synthetic resins; (3) manufacturing synthetic rubber; (4) manufacturing cellulosic (e.g., rayon, acetate) and noncellulosic (e.g., nylon, polyolefin, polyester) fibers and filaments in the form of monofilament, filament yarn, staple, or tow; or (5) manufacturing and texturizing cellulosic and noncellulosic fibers and filaments."
3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",This industry group comprises establishments primarily engaged in one or more of the following: (1) manufacturing nitrogenous or phosphatic fertilizer materials; (2) manufacturing fertilizers from sewage or animal waste; (3) manufacturing nitrogenous or phosphatic materials and mixing with other ingredients into fertilizers; (4) mixing ingredients made elsewhere into fertilizers; and (5) formulating and preparing pesticides and other agricultural chemicals.
3254,Pharmaceutical and Medicine Manufacturing,""
3255,"Paint, Coating, and Adhesive Manufacturing","This industry group comprises establishments primarily engaged in one or more of the following: (1) mixing pigments, solvents, and binders into paints and other coatings; (2) manufacturing allied paint products; and (3) manufacturing adhesives, glues, and caulking compounds."
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing","This industry group comprises establishments primarily engaged in (1) manufacturing and packaging soaps, detergents, polishes, surface active agents, textile and leather finishing agents, and other sanitation goods or (2) preparing, blending, compounding, and packaging toilet preparations."
3259,Other Chemical Product and Preparation Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing chemical products (except basic chemicals; resins, synthetic rubber, cellulosic and noncellulosic fibers and filaments; pesticides, fertilizers, and other agricultural chemicals; pharmaceuticals and medicines; paints, coatings, and adhesives; soaps and cleaning compounds; and toilet preparations)."
3261,Plastics Product Manufacturing,"This industry group comprises establishments primarily engaged in processing new or spent (i.e., recycled) plastics resins into intermediate or final products, using such processes as compression molding; extrusion molding; injection molding; blow molding; and casting. Within most of these industries, the production process is such that a wide variety of products can be made."
3262,Rubber Product Manufacturing,"This industry group comprises establishments primarily engaged in processing natural, synthetic, or reclaimed rubber materials into intermediate or final products using processes, such as vulcanizing, cementing, molding, extruding, and lathe-cutting."
3271,Clay Product and Refractory Manufacturing,"This industry group comprises establishments primarily engaged in (1) shaping, molding, glazing, and firing pottery, ceramics, and plumbing fixtures, and electrical supplies made entirely or partly of clay or other ceramic materials or (2) shaping, molding, baking, burning, or hardening clay refractories, nonclay refractories, ceramic tile, structural clay tile, brick, and other structural clay building materials."
3272,Glass and Glass Product Manufacturing,""
3273,Cement and Concrete Product Manufacturing,"This industry group comprises establishments primarily engaged in one of the following: (1) manufacturing portland, natural, masonry, pozzolanic, and other hydraulic cements; (2) acting as batch or mixing plants, manufacturing concrete delivered to a purchaser in a plastic and unhardened state; (3) manufacturing concrete pipe, brick, and block; or (4) manufacturing other concrete products (except block, brick, and pipe)."
3274,Lime and Gypsum Product Manufacturing,"This industry group comprises establishments primarily engaged in (1) manufacturing lime from calcitic limestone, dolomitic limestone, or other calcareous materials or (2) manufacturing gypsum products."
3279,Other Nonmetallic Mineral Product Manufacturing,"This industry group comprises establishments manufacturing nonmetallic mineral products (except clay products, refractory products, glass products, cement and concrete products, lime, and gypsum products)."
3311,Iron and Steel Mills and Ferroalloy Manufacturing,""
3312,Steel Product Manufacturing from Purchased Steel,"This industry group comprises establishments primarily engaged in manufacturing iron and steel tube and pipe, drawing steel wire, and rolling or drawing shapes from purchased iron or steel."
3313,Alumina and Aluminum Production and Processing,""
3314,Nonferrous Metal (except Aluminum) Production and Processing,"This industry group comprises establishments primarily engaged in nonferrous metal (except aluminum) smelting, refining, rolling, drawing, extruding, and alloying."
3315,Foundries,"This industry group comprises establishments primarily engaged in pouring molten metal into molds or dies to form castings.  Establishments making castings and further manufacturing, such as machining or assembling, a specific manufactured product are classified in the industry of the finished product.  Foundries may perform operations, such as cleaning and deburring, on the castings they manufacture.  More involved processes, such as tapping, threading, milling, or machining to tight tolerances, that transform castings into more finished products are classified elsewhere in the Manufacturing sector based on the product made.

Establishments in this industry group make castings from purchased metals or in integrated secondary smelting and casting facilities.  When the production of primary metals is combined with making castings, the establishment is classified in Subsector 331, Primary Metal Manufacturing, with the primary metal made."
3321,Forging and Stamping,""
3322,Cutlery and Handtool Manufacturing,""
3323,Architectural and Structural Metals Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing one or more of the following: (1) prefabricated metal buildings, panels and sections; (2) structural metal products; (3) metal plate work products; (4) metal framed windows (i.e., typically using purchased glass) and metal doors; (5) sheet metal work; and (6) ornamental and architectural metal products."
3324,"Boiler, Tank, and Shipping Container Manufacturing","This industry group comprises establishments primarily engaged in one of the following: (1) manufacturing power boilers and heat exchangers; (2) cutting, forming, and joining heavy gauge metal to manufacture tanks, vessels, and other containers; or (3) forming light gauge metal containers."
3325,Hardware Manufacturing,""
3326,Spring and Wire Product Manufacturing,""
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing","This industry group comprises establishments primarily engaged in one of the following: (1) operating machine shops primarily engaged in machining metal and plastic parts and parts of other composite materials on a job or order basis; (2) machining precision turned products; or (3) manufacturing metal bolts, nuts, screws, rivets, and other industrial fasteners."
3328,"Coating, Engraving, Heat Treating, and Allied Activities",""
3329,Other Fabricated Metal Product Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing fabricated metal products (except forgings and stampings, cutlery and handtools, architectural and structural metals, boilers, tanks, shipping containers, hardware, spring and wire products, machine shop products, turned products, screws, and nuts and bolts)."
3331,"Agriculture, Construction, and Mining Machinery Manufacturing","This industry group comprises establishments primarily engaged in manufacturing one or more of the following: (1) farm machinery and equipment, power mowing equipment, and other powered home lawn and garden equipment; (2) construction machinery, surface mining machinery, and logging equipment; and (3) oil and gas field and underground mining machinery and equipment."
3332,Industrial Machinery Manufacturing,""
3333,Commercial and Service Industry Machinery Manufacturing,""
3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",""
3335,Metalworking Machinery Manufacturing,""
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",""
3339,Other General Purpose Machinery Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing pumps and compressors, material handling equipment, and all other general purpose machinery (except ventilation, heating, air-conditioning, and commercial refrigeration equipment; metalworking machinery; and engines, turbines, and power transmission equipment)."
3341,Computer and Peripheral Equipment Manufacturing,""
3342,Communications Equipment Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing wire telephone and data communications equipment, radio and television broadcast and wireless communications equipment, and all other communications equipment."
3343,Audio and Video Equipment Manufacturing,""
3344,Semiconductor and Other Electronic Component Manufacturing,""
3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",""
3346,Manufacturing and Reproducing Magnetic and Optical Media,""
3351,Electric Lighting Equipment Manufacturing,"This industry group comprises establishments primarily engaged in (1) manufacturing electric light bulbs and tubes, and parts and components (except glass blanks for electric light bulbs) or (2) manufacturing electric lighting fixtures (except vehicular), nonelectric lighting equipment, lamp shades (except glass and plastics), and lighting fixture components (except current-carrying wiring devices)."
3352,Household Appliance Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing small electric appliances, electric housewares, and major household appliances."
3353,Electrical Equipment Manufacturing,""
3359,Other Electrical Equipment and Component Manufacturing,"This industry group comprises establishments manufacturing electrical equipment and components (except electric lighting equipment, household-type appliances, transformers, switchgear, relays, motors, and generators)."
3361,Motor Vehicle Manufacturing,"This industry group comprises establishments primarily engaged in (1) manufacturing complete automobiles, light duty motor vehicles, and heavy duty trucks (i.e., body and chassis or unibody) or (2) manufacturing motor vehicle chassis only."
3362,Motor Vehicle Body and Trailer Manufacturing,""
3363,Motor Vehicle Parts Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing motor vehicle gasoline engines and engine parts, motor vehicle electrical and electronic equipment, motor vehicle steering and suspension components (except springs), motor vehicle brake systems, motor vehicle transmission and power train parts, motor vehicle seating and interior trim, motor vehicle metal stampings, and other motor vehicle parts and accessories.  This industry group includes establishments that rebuild motor vehicle parts."
3364,Aerospace Product and Parts Manufacturing,""
3365,Railroad Rolling Stock Manufacturing,""
3366,Ship and Boat Building,""
3369,Other Transportation Equipment Manufacturing,""
3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,"This industry group comprises establishments manufacturing household-type furniture, such as living room, kitchen and bedroom furniture and institutional (i.e., public building) furniture, such as furniture for schools, theaters, and churches."
3372,Office Furniture (including Fixtures) Manufacturing,""
3379,Other Furniture Related Product Manufacturing,"This industry group comprises establishments manufacturing furniture related products, such as mattresses, blinds, and shades."
3391,Medical Equipment and Supplies Manufacturing,""
3399,Other Miscellaneous Manufacturing,"This industry group comprises establishments primarily engaged in miscellaneous manufacturing, such as jewelry and silverware manufacturing, sporting and athletic goods manufacturing, doll, toy, and game manufacturing, office supplies (except paper) manufacturing, sign manufacturing, and all other miscellaneous manufacturing."
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of automobiles and other motor vehicles, motor vehicle supplies, tires, and new and used parts."
4232,Furniture and Home Furnishing Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of furniture (except hospital beds, medical furniture, and drafting tables), home furnishings, and/or housewares."
4233,Lumber and Other Construction Materials Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of lumber, plywood, millwork, and wood panels; brick, stone, and related construction materials; roofing, siding, and insulation materials; and other construction materials, including manufactured homes (i.e., mobile homes) and/or prefabricated buildings."
4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of photographic equipment and supplies; office, computer, and computer peripheral equipment; and medical, dental, hospital, ophthalmic, and other commercial and professional equipment and supplies."
4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of products of the primary metals industries (including metal service centers) and coal, coke, metal ores, and/or nonmetallic minerals (except precious and semiprecious stones and minerals used in construction)."
4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of electrical apparatus and equipment, wiring supplies, and related equipment; household appliances, electric housewares, and consumer electronics; and other electronic parts and equipment."
4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",This industry group comprises establishments primarily engaged in the merchant wholesale distribution of hardware; plumbing and heating equipment and supplies (hydronics); warm air heating and air-conditioning equipment and supplies; and refrigeration equipment and supplies.
4238,"Machinery, Equipment, and Supplies Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of construction, mining, farm, garden, industrial, service establishment, and transportation machinery, equipment, and supplies."
4239,Miscellaneous Durable Goods Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of sporting, recreational, toy, hobby, and jewelry goods and supplies, and precious stones and metals."
4241,Paper and Paper Product Merchant Wholesalers,This industry group comprises establishments primarily engaged in the merchant wholesale distribution of bulk printing and writing paper; stationery and office supplies; and industrial and personal service paper.
4242,Drugs and Druggists' Sundries Merchant Wholesalers,""
4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of piece goods, notions, and other dry goods; men's and boys' clothing and furnishings; women's, children's, and infants' clothing and accessories; and footwear."
4244,Grocery and Related Product Merchant Wholesalers,This industry group comprises establishments primarily engaged in the merchant wholesale distribution of (1) a general line of groceries; (2) packaged frozen food; (3) dairy products; (4) poultry and poultry products; (5) confectioneries; (6) fish and seafood; (7) meats and meat products; (8) fresh fruits and vegetables; and (9) other grocery and related products.
4245,Farm Product Raw Material Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of agricultural products (except raw milk, live poultry, and fresh fruits and vegetables), such as grains, field beans, livestock, and other farm product raw materials (excluding seeds)."
4246,Chemical and Allied Products Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of chemicals, plastics materials and basic forms and shapes, and allied products."
